,id_domicilio,id_zona,tipologia_domicilio,regime_ocupacao,quantidade_bicicletas,quantidade_motos,quantidade_moradores,quantidade_familias,fator_expansao,quantidade_automoveis,id_municipio
0,25331,1311,Domicílio Isolado (casa),Alugada,0,0,4,1,55.26,2,3106200
1,25332,1312,Domicílio Isolado (casa),Própria paga,0,0,1,1,52.04,0,3106200
2,25333,1312,Domicílio Isolado (casa),Alugada,0,0,4,1,52.04,0,3106200
3,25334,1312,Domicílio Isolado (casa),Própria paga,0,0,2,1,52.04,2,3106200
4,25335,1312,Domicílio Isolado (casa),Própria paga,0,0,2,1,52.04,0,3106200
5,25336,1312,Domicílio Isolado (casa),Própria paga,0,0,2,1,52.04,1,3106200
6,25337,1345,Domicílio Isolado (casa),Alugada,0,0,5,1,64.47,0,3106200
7,25338,1345,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,4,1,64.47,1,3106200
8,25339,1345,Domicílio Isolado (casa),Própria paga,0,0,2,1,64.47,1,3106200
9,25340,1330,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,46.73,1,3106200
10,25341,1330,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,1,1,46.73,0,3106200
11,25342,1388,Domicílio Isolado (casa),Própria paga,0,0,3,1,55.65,3,3106200
12,25343,1388,Domicílio Isolado (casa),Própria paga,0,0,4,1,55.65,0,3106200
13,25344,1388,Domicílio Isolado (casa),Própria paga,0,0,2,1,55.65,1,3106200
14,25345,1388,Domicílio Isolado (casa),Cedida ou emprestada,0,0,1,1,55.65,0,3106200
15,25346,1388,Domicílio Isolado (casa),Própria paga,0,0,2,1,55.65,0,3106200
16,25347,1329,Domicílio Isolado (casa),Própria paga,0,0,3,1,15.0,1,3106200
17,2,1805,Domicílio Isolado (casa),Própria paga,0,0,1,1,57.63,0,3106200
18,3,1805,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,57.63,1,3106200
19,4,1805,Domicílio Isolado (casa),Própria paga,0,0,5,1,57.63,3,3106200
20,6,1805,Domicílio Isolado (casa),Própria paga,0,0,4,1,57.63,0,3106200
21,9,1836,Domicílio Isolado (casa),Alugada,0,0,2,1,17.17,0,3106200
22,11,18104,Domicílio Isolado (casa),Própria paga,6,0,2,1,71.6,0,3157807
23,12,18105,Domicílio Isolado (casa),Cedida ou emprestada,0,0,5,1,70.46,4,3157807
24,22,1702,Domicílio Isolado (casa),Invadida,3,9,3,1,41.32,0,3157807
25,24,1702,Domicílio Isolado (casa),Própria paga,1,1,5,1,41.32,7,3157807
26,25,2006,Domicílio Isolado (casa),Própria paga,3,0,5,1,65.04,0,3106705
27,28,2010,Domicílio Isolado (casa),Própria paga,0,0,3,1,59.42,0,3106705
28,29,2010,Domicílio Isolado (casa),Própria paga,0,0,3,1,59.42,0,3106705
29,40,1702,Domicílio Isolado (casa),Alugada,0,0,3,1,41.32,0,3106200
30,43,15009,Domicílio Isolado (casa),Própria paga,0,0,3,1,64.19,1,3154606
31,44,15026,Domicílio Isolado (casa),Própria paga,0,0,3,1,60.94,0,3154606
32,45,15026,Domicílio Isolado (casa),Própria paga,0,0,2,1,60.94,1,3154606
33,46,15026,Domicílio Isolado (casa),Própria paga,0,1,5,1,60.94,0,3154606
34,48,15026,Domicílio Isolado (casa),Própria paga,0,0,3,1,60.94,0,3154606
35,50,1702,Domicílio Isolado (casa),Própria em pagamento,0,1,4,1,41.32,1,3106200
36,52,1702,Domicílio Isolado (casa),Própria paga,0,0,3,1,41.32,0,3106200
37,54,1702,Domicílio Isolado (casa),Própria paga,0,0,5,1,41.32,1,3106200
38,61,1001,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,67.17,0,3106200
39,76,1003,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,1,1,85.73,0,3106200
40,79,1005,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,70.9,1,3106200
41,83,1002,Condomínio vertical (prédio de apartamentos),Alugada,0,0,1,1,85.93,0,3106200
42,87,1702,Domicílio Isolado (casa),Alugada,1,0,2,1,41.32,0,3106200
43,88,1702,Domicílio Isolado (casa),Própria paga,3,1,6,1,41.32,2,3106200
44,89,18104,Domicílio Isolado (casa),Própria paga,0,0,3,1,71.6,1,3157807
45,25199,1307,Domicílio Isolado (casa),Própria paga,0,2,5,1,66.55,1,3106200
46,25200,1307,Domicílio Isolado (casa),Própria paga,0,0,2,1,66.55,0,3106200
47,25201,1307,Domicílio Isolado (casa),Própria paga,0,0,3,1,66.55,0,3106200
48,25202,1307,Domicílio Isolado (casa),Própria paga,0,0,3,1,66.55,1,3106200
49,25203,1308,Domicílio Isolado (casa),Própria paga,0,0,6,1,63.86,1,3106200
50,25204,1305,Domicílio Isolado (casa),Própria paga,0,0,8,1,56.59,2,3106200
