ano,id_municipio,tipo_estabelecimento,cnae_2,quantidade_vinculos_ativos,cep,geometry,grupo_cnae
2023,3106200,1,33210,36,31515300,POINT (609251.4940790934 7807508.929640653),C
2023,3106200,1,31012,18,30570720,POINT (607390.5329242843 7792432.987495131),C
2023,3106200,1,25420,28,30532250,POINT (603902.4069503469 7794389.139801033),C
2023,3106200,1,27902,20,31140650,POINT (611408.2861835036 7800446.647792663),C
2023,3106200,1,10911,85,30320570,POINT (610540.6820415074 7790907.247806389),C
2023,3106200,1,10911,12,30580120,POINT (606148.6850615494 7791671.960398696),C
2023,3106200,1,23206,87,30140098,POINT (610897.3073841886 7795860.780973642),C
2023,3106200,1,32507,56,30120050,POINT (611140.3417482715 7796959.853640358),C
2023,3106200,1,18130,67,31744590,POINT (610759.6393223123 7808594.248370767),C
2023,3106200,1,25993,50,31975310,POINT (616656.376090498 7805224.700928031),C
2023,3106200,1,31021,16,30710640,POINT (605988.5890466793 7794963.631169267),C
2023,3106200,1,18130,16,30140062,POINT (609711.2693651051 7796621.715280488),C
2023,3106200,1,15319,280,30775230,POINT (607831.2115654454 7800451.777059007),C
2023,3106200,1,33210,33,31960280,POINT (614717.0431101926 7803729.5337886475),C
2023,3106200,1,21211,27,30160048,POINT (610559.1132215369 7795154.100635167),C
2023,3106200,1,10929,15,30570650,POINT (607208.7754345424 7792283.781189794),C
2023,3106200,1,14134,18,30110031,POINT (612440.946711585 7795085.650064584),C
2023,3106200,1,10911,46,31810130,POINT (611735.450590916 7803714.050399927),C
2023,3106200,1,23419,16,30668274,POINT (601851.8329230439 7787731.584565116),C
2023,3106200,1,22293,17,31255180,POINT (609435.7384449337 7802070.971322649),C
2023,3106200,1,22226,35,30575400,POINT (606862.4799630732 7791753.482529281),C
2023,3106200,1,10911,32,31270700,POINT (609032.4591539318 7804161.2825973295),C
2023,3106200,1,20622,13,31155004,POINT (610049.3416622041 7802142.677247575),C
2023,3106200,1,32116,13,31110010,POINT (611344.760667556 7797955.309757261),C
2023,3106200,1,10911,12,30441018,POINT (608921.1107726502 7795598.648450159),C
2023,3106200,1,10911,89,30770400,POINT (607537.9722233703 7798748.889749367),C
2023,3106200,1,23991,99,31749030,POINT (610344.2200151827 7810596.098496748),C
2023,3106200,1,33147,14,30380342,POINT (609388.4156779047 7794046.723449716),C
2023,3106200,1,10911,16,30710590,POINT (609200.6470599183 7797446.13247242),C
2023,3106200,1,25993,14,31710310,POINT (608696.2589336392 7805738.337881798),C
2023,3106200,1,13308,42,31255210,POINT (608975.5327576961 7802077.900814832),C
2023,3106200,1,33121,24,30710662,POINT (609618.983513342 7797617.3426235635),C
2023,3106200,1,25128,19,31255080,POINT (608961.2933021847 7801799.788460743),C
2023,3106200,1,32507,24,31110052,POINT (611841.2677864989 7797840.691855403),C
2023,3106200,1,10911,18,30710580,POINT (608645.4300796513 7797799.153700128),C
2023,3106200,1,22293,14,30421476,POINT (607812.13653065 7793565.860734413),C
2023,3106200,1,15319,14,30610460,POINT (604853.0482536098 7791940.542570311),C
2023,3106200,1,23303,69,30628260,POINT (604196.5022933166 7786475.124050332),C
2023,3106200,1,22226,35,30882640,POINT (604003.0651739292 7800816.198453605),C
2023,3106200,1,25993,32,30664000,POINT (600401.747247779 7788334.724737674),C
2023,3106200,1,24237,18,30664000,POINT (600401.747247779 7788334.724737674),C
2023,3106200,1,32507,23,31110052,POINT (611841.2677864989 7797840.691855403),C
2023,3106200,1,31021,21,30610010,POINT (604169.6626054518 7792889.395398121),C
2023,3106200,1,28259,12,31330200,POINT (604306.3308713975 7801634.7606420275),C
2023,3106200,1,18130,32,30710070,POINT (610225.0339334316 7797499.555112356),C
2023,3106200,1,18130,13,30350070,POINT (610263.1616408345 7795018.79056582),C
2023,3106200,1,18130,28,31255150,POINT (609656.1430663641 7801757.500493497),C
2023,3106200,1,10911,29,31555000,POINT (606835.4327794883 7805179.9669651305),C
2023,3106200,1,25128,16,31730553,POINT (610962.2813024028 7806556.942426389),C
2023,3106200,1,18113,12,31130380,POINT (610638.5552430226 7799950.967331739),C
2023,3106200,1,23303,22,30170081,POINT (610427.8867061986 7796271.220746754),C
2023,3106200,1,10911,12,31155320,POINT (610414.5763283238 7802379.426356971),C
2023,3106200,1,33147,51,31330142,POINT (604190.2882792256 7801536.951888979),C
2023,3106200,1,10911,23,31560300,POINT (607168.0989100318 7805970.031389961),C
2023,3106200,1,18130,34,31255200,POINT (608851.5216657304 7801730.820281412),C
2023,3106200,1,22196,43,30668273,POINT (601656.7346636312 7787769.053702449),C
2023,3106200,1,14134,14,30662060,POINT (600432.9959300732 7789229.748579523),C
2023,3106200,1,29301,22,30640500,POINT (602229.7285956728 7790653.657122303),C
2023,3106200,1,29506,17,30881450,POINT (603372.1335703335 7800432.953487563),C
2023,3106200,1,25993,15,31840220,POINT (613057.0761396745 7805420.145210075),C
2023,3106200,1,25390,29,30668170,POINT (601241.6673547891 7788174.497433484),C
2023,3106200,1,25420,13,31080255,POINT (614336.7583220076 7800630.545611938),C
2023,3106200,1,15211,15,30710260,POINT (608941.8750750115 7797473.761393821),C
2023,3106200,1,23915,12,30627230,POINT (602383.5320869096 7788548.471126246),C
2023,3106200,1,13405,12,31110750,POINT (610669.9160511559 7799329.548202507),C
2023,3106200,1,10911,332,31920010,POINT (612893.7270388332 7802162.277084552),C
2023,3106200,1,27597,14,31814340,POINT (612356.884140819 7804827.3151874775),C
2023,3106200,1,10911,15,31230210,POINT (609242.0834939771 7798797.277553976),C
2023,3106200,1,10929,14,30865230,POINT (602321.8185106594 7797170.7633976685),C
2023,3106200,1,33163,13,31270700,POINT (609032.4591539318 7804161.2825973295),C
2023,3106200,1,29506,16,31575090,POINT (605231.671409539 7809835.961782196),C
2023,3106200,1,29301,13,30750620,POINT (607576.3848814031 7800263.660581301),C
2023,3106200,1,10139,70,30390080,POINT (608215.9343235318 7789452.77103061),C
2023,3106200,1,17419,33,31255055,POINT (608583.1253518336 7801376.171621961),C
2023,3106200,1,10911,40,30220320,POINT (613689.4193678951 7794718.895684704),C
2023,3106200,1,10961,16,30421043,POINT (606861.683032257 7796070.871611118),C
2023,3106200,1,10911,16,31155170,POINT (610954.6694361138 7801558.9449214265),C
2023,3106200,1,31012,13,31741401,POINT (611555.1112377226 7804427.094010269),C
2023,3106200,1,10911,16,30666472,POINT (601198.1646318599 7786684.171019485),C
2023,3106200,1,10911,21,30240000,POINT (613149.1736968483 7794694.375399869),C
2023,3106200,1,32990,21,30530720,POINT (604099.2141637327 7795939.648013888),C
2023,3106200,1,10945,15,30775200,POINT (607782.2215434036 7800234.415948557),C
2023,3106200,1,14126,84,30411530,POINT (606908.6655960553 7796383.783452323),C
2023,3106200,1,14126,47,30431061,POINT (608437.2920786182 7795822.404295867),C
2023,3106200,1,14126,15,31525000,POINT (607615.4604504697 7807943.015509379),C
2023,3106200,1,14126,20,30710320,POINT (608747.3364515922 7797703.974026665),C
2023,3106200,1,14126,18,30120040,POINT (610619.8675649213 7797118.131541537),C
2023,3106200,1,14126,24,30441004,POINT (609006.7414638542 7795794.242583919),C
2023,3106200,1,14126,13,30411120,POINT (608377.4406181427 7796523.9267331725),C
2023,3106200,1,14126,26,31170680,POINT (612607.033597185 7801457.505180549),C
2023,3106200,1,33147,0,30150000,POINT (612038.0065439956 7797638.627244063),C
2023,3106200,1,25420,0,30260350,POINT (613997.9673558329 7796136.460478539),C
2023,3106200,1,23303,0,31545000,POINT (604874.0355886678 7806962.358475158),C
2023,3106200,1,20142,0,30170008,POINT (609756.9865681406 7795542.851740453),C
2023,3106200,1,14223,0,30620100,POINT (604306.2652977675 7789882.327260282),C
2023,3106200,1,31012,0,31525130,POINT (607772.014388245 7807496.733541202),C
2023,3106200,1,13405,0,31950020,POINT (614968.1679763125 7802216.812450256),C
2023,3106200,1,32400,0,30431315,POINT (607728.9957000553 7794859.975228272),C
2023,3106200,1,13405,0,31930585,POINT (613696.1995169262 7803324.361242149),C
2023,3106200,1,25128,0,30510780,POINT (605199.531772197 7794180.772861999),C
2023,3106200,1,33121,0,30690050,POINT (599966.8764863509 7790580.673287384),C
2023,3106200,1,31012,0,31110800,POINT (611067.1541213149 7799172.398802068),C
2023,3106200,1,25110,0,30642380,POINT (603501.2744580823 7789893.318750527),C
2023,3106200,1,33295,0,31970636,POINT (617941.2958616259 7803620.364061724),C
2023,3106200,1,32116,0,31742254,POINT (611194.986834287 7807069.558262957),C
2023,3106200,1,25110,0,31565320,POINT (607992.1311380515 7806974.582625093),C
2023,3106200,1,26515,0,30520330,POINT (602467.5516275716 7794760.078071804),C
2023,3106200,1,31012,0,30865080,POINT (602691.8124671205 7798233.7677121945),C
2023,3106200,1,18130,0,30190060,POINT (611113.2363536702 7796809.587206901),C
2023,3106200,1,23303,0,30180000,POINT (608686.9574974033 7797575.502738768),C
