stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_4_1,1,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.68917,A,http://www.crtm.es,0,est_90_21,,0
acc_4_1_1,1,Plaza de Castilla,Paseo de la Castellana 189,40.46682,-3.68918,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1040,1,Ascensor,Plaza de Castilla 9,40.46555,-3.68877,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1043,1,Intercambiador Superficie,Paseo de la Castellana 191 B,40.46728,-3.68915,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_1044,1,Ascensor,Paseo de la Castellana 189,40.46702,-3.68918,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_4,1,Paseo Castellana pares,Plaza de Castilla 9,40.46546,-3.68891,,http://www.crtm.es,2,est_90_21,,0
acc_4_1_773,1,Intercambiador,Plaza de Castilla 3,40.46621,-3.69028,,http://www.crtm.es,2,est_90_21,,0
par_4_10,10,TRIBUNAL,Calle de Fuencarral 81,40.42619,-3.7011,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_10_1102,10,Barceló - Ascensor,Calle de Barceló 2,40.4263,-3.70067,,http://www.crtm.es,2,est_4_10,,0
acc_4_10_35,10,Fuencarral,Calle de Fuencarral 78,40.4262,-3.70103,,http://www.crtm.es,2,est_4_10,,0
acc_4_10_36,10,Tribunal de Cuentas,Calle de Fuencarral 81,40.42569,-3.70111,,http://www.crtm.es,2,est_4_10,,0
par_4_11,11,GRAN VIA,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,0,,Europe/Madrid,0
acc_4_11_1105,11,Montera - Ascensor,Calle de la Montera 47,40.41986,-3.70158,,http://www.crtm.es,2,est_4_11,,0
acc_4_11_38,11,Gran Vía,Calle  Gran Vía 25,40.41992,-3.70183,,http://www.crtm.es,2,est_4_11,,0
acc_4_11_39,11,Fuencarral,Calle  Gran vía 28,40.42013,-3.70181,,http://www.crtm.es,2,est_4_11,,0
par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
acc_4_12_1034,12,Alcalá,Plaza de la Puerta del Sol 13,40.41707,-3.70296,,http://www.crtm.es,2,est_90_58,,0
acc_4_12_41,12,Carretas,Plaza de la Puerta del Sol 7,40.41665,-3.70353,,http://www.crtm.es,2,est_90_58,,0
