,mean,std
hill_q0,33.031010315157125,21.1198216267532
hill_q1,35.667674541235726,12.289638692680152
hill_q2,12.416656211872493,6.0464766433680115
income_betweenness_public,3141598997.1300464,8076195771.183008
income_harmonic_public,1343608.7191448445,1395103.8960608458
income_beta_public,2101.8942678257085,1245.475226949822
income_betweenness_private,279617701298.7338,743970086493.7949
income_harmonic_private,11979259.599689906,5936243.424176491
income_beta_private,1092330956.7491617,613559183.842512
income_betweenness_walk,1233163242.2592118,1975744346.9193606
income_harmonic_walk,295899.569518149,310253.21050325135
income_beta_walk,25522074.415817842,27450258.25427484
households_betweenness_public,1353137.477956345,2790400.942561002
households_harmonic_public,538.6831674136782,276.48206380955247
households_beta_public,39398.909683132886,20194.10262974628
households_betweenness_private,57025573.57103301,139397691.28451166
households_harmonic_private,2399.10108824688,729.2669888452997
households_beta_private,218970.93893594953,70794.81697304118
households_betweenness_walk,544266.957666698,565553.7420958818
households_harmonic_walk,129.1406480499753,47.430393096180815
households_beta_walk,11173.24744243529,4283.252822168464
none_betweenness_walk,3001.904236520163,3450.018753027865
none_harmonic_walk,138.07083537662575,53.44664219305417
none_beta_walk,0.0,1.0
bueiros,0.549165205081609,0.29583636373015354
obstaculo_calcada,0.6459008491073326,0.2964427046026919
rampa_cadeirante,0.2927644734518189,0.3021753363639158
com_arvores,0.6951239961146888,0.24253570400074548
crime_rate,51.3677390122338,89.61143716402262
slope,10.410770100073998,5.745251193670678
